Main_Video_Url,Total Number of Ads,Duration(s),Size Original (Bytes),Resolution,Advertisement 1 ID,Advertisement 1 Count,Advertisement 1 Skippable,Advertisement 1 Skip Duration,Advertisement 1 Resolution,Advertisement 1 Size(Bytes),Advertisement 1 Durationn(s),Advertisement 1 Advert_Buffer(s),Advertisement 1 Main_Buffer_Lost(s),Avertisement 1 Timestamp,Advertisement 2 ID,Advertisement 2 Count,Advertisement 2 Skippable,Advertisement 2 Skip Duration,Advertisement 2 Resolution,Advertisement 2 Size(Bytes),Advertisement 2 Durationn(s),Advertisement 2 Advert_Buffer(s),Advertisement 2 Main_Buffer_Lost(s),Avertisement 2 Timestamp,Advertisement 3 ID,Advertisement 3 Count,Advertisement 3 Skippable,Advertisement 3 Skip Duration,Advertisement 3 Resolution,Advertisement 3 Size(Bytes),Advertisement 3 Durationn(s),Advertisement 3 Advert_Buffer(s),Advertisement 3 Main_Buffer_Lost(s),Avertisement 3 Timestamp,Advertisement 4 ID,Advertisement 4 Count,Advertisement 4 Skippable,Advertisement 4 Skip Duration,Advertisement 4 Resolution,Advertisement 4 Size(Bytes),Advertisement 4 Durationn(s),Advertisement 4 Advert_Buffer(s),Advertisement 4 Main_Buffer_Lost(s),Avertisement 4 Timestamp,Advertisement 5 ID,Advertisement 5 Count,Advertisement 5 Skippable,Advertisement 5 Skip Duration,Advertisement 5 Resolution,Advertisement 5 Size(Bytes),Advertisement 5 Durationn(s),Advertisement 5 Advert_Buffer(s),Advertisement 5 Main_Buffer_Lost(s),Avertisement 5 Timestamp,Advertisement 6 ID,Advertisement 6 Count,Advertisement 6 Skippable,Advertisement 6 Skip Duration,Advertisement 6 Resolution,Advertisement 6 Size(Bytes),Advertisement 6 Durationn(s),Advertisement 6 Advert_Buffer(s),Advertisement 6 Main_Buffer_Lost(s),Avertisement 6 Timestamp,Advertisement 7 ID,Advertisement 7 Count,Advertisement 7 Skippable,Advertisement 7 Skip Duration,Advertisement 7 Resolution,Advertisement 7 Size(Bytes),Advertisement 7 Durationn(s),Advertisement 7 Advert_Buffer(s),Advertisement 7 Main_Buffer_Lost(s),Avertisement 7 Timestamp,Advertisement 8 ID,Advertisement 8 Count,Advertisement 8 Skippable,Advertisement 8 Skip Duration,Advertisement 8 Resolution,Advertisement 8 Size(Bytes),Advertisement 8 Durationn(s),Advertisement 8 Advert_Buffer(s),Advertisement 8 Main_Buffer_Lost(s),Avertisement 8 Timestamp,Advertisement 9 ID,Advertisement 9 Count,Advertisement 9 Skippable,Advertisement 9 Skip Duration,Advertisement 9 Resolution,Advertisement 9 Size(Bytes),Advertisement 9 Durationn(s),Advertisement 9 Advert_Buffer(s),Advertisement 9 Main_Buffer_Lost(s),Avertisement 9 Timestamp,Advertisement 10 ID,Advertisement 10 Count,Advertisement 10 Skippable,Advertisement 10 Skip Duration,Advertisement 10 Resolution,Advertisement 10 Size(Bytes),Advertisement 10 Durationn(s),Advertisement 10 Advert_Buffer(s),Advertisement 10 Main_Buffer_Lost(s),Avertisement 10 Timestamp,Advertisement 11 ID,Advertisement 11 Count,Advertisement 11 Skippable,Advertisement 11 Skip Duration,Advertisement 11 Resolution,Advertisement 11 Size(Bytes),Advertisement 11 Durationn(s),Advertisement 11 Advert_Buffer(s),Advertisement 11 Main_Buffer_Lost(s),Avertisement 11 Timestamp,Advertisement 12 ID,Advertisement 12 Count,Advertisement 12 Skippable,Advertisement 12 Skip Duration,Advertisement 12 Resolution,Advertisement 12 Size(Bytes),Advertisement 12 Durationn(s),Advertisement 12 Advert_Buffer(s),Advertisement 12 Main_Buffer_Lost(s),Avertisement 12 Timestamp,Advertisement 13 ID,Advertisement 13 Count,Advertisement 13 Skippable,Advertisement 13 Skip Duration,Advertisement 13 Resolution,Advertisement 13 Size(Bytes),Advertisement 13 Durationn(s),Advertisement 13 Advert_Buffer(s),Advertisement 13 Main_Buffer_Lost(s),Avertisement 13 Timestamp,Advertisement 14 ID,Advertisement 14 Count,Advertisement 14 Skippable,Advertisement 14 Skip Duration,Advertisement 14 Resolution,Advertisement 14 Size(Bytes),Advertisement 14 Durationn(s),Advertisement 14 Advert_Buffer(s),Advertisement 14 Main_Buffer_Lost(s),Avertisement 14 Timestamp,Advertisement 15 ID,Advertisement 15 Count,Advertisement 15 Skippable,Advertisement 15 Skip Duration,Advertisement 15 Resolution,Advertisement 15 Size(Bytes),Advertisement 15 Durationn(s),Advertisement 15 Advert_Buffer(s),Advertisement 15 Main_Buffer_Lost(s),Avertisement 15 Timestamp,Advertisement 16 ID,Advertisement 16 Count,Advertisement 16 Skippable,Advertisement 16 Skip Duration,Advertisement 16 Resolution,Advertisement 16 Size(Bytes),Advertisement 16 Durationn(s),Advertisement 16 Advert_Buffer(s),Advertisement 16 Main_Buffer_Lost(s),Avertisement 16 Timestamp
https://www.youtube.com/watch?v=fzoAygQbLSo,3,2314,182642960.0,640x360 ,9kpuOoIh3wU,1.0,0.0,999.0,0x0,12481910.0,219.0,219.0,-1.0,0.0,cwIdztqusEM,1.0,1.0,5.0,640x360,13085075.0,229.0,9.92,0.0,0.0,QymoNHZpyBs,1.0,0.0,999.0,0x0,347785.0,6.0,6.0,12.09,214.046489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=jQRQSjDpHO8,2,662,58949952.0,640x360 ,Zr2dQ7bziok,1.0,1.0,5.0,640x360,6371715.0,75.0,17.8,-1.0,0.0,l9uQ9BE5KXk,1.0,1.0,5.0,640x360,14408710.0,192.0,21.04,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=AL6NU6ljP3k,2,1031,61315790.0,640x360 ,YRkNmN63ooI,1.0,0.0,999.0,0x0,11009874.0,148.0,148.0,0.0,480.003258,-QHMISxgof0,1.0,0.0,999.0,640x360,252360.0,7.0,7.0,2.3,839.954786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=bjczOQyP1FQ,1,110,8429983.0,640x360 ,5eaKRP5c0Xw,1.0,1.0,5.0,640x360,1090882.0,21.0,11.56,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=sTuP-cnH9_w,2,229,19780217.0,640x338 ,IXl_u808CV0,1.0,1.0,5.0,640x360,2668347.0,43.0,23.43,-1.0,0.0,BDD-AtyLNk0,1.0,1.0,5.0,640x360,969996.0,16.0,15.66,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=FGO4I-rzbx8,1,142,6579364.0,640x360 ,OP-3PNVD43U,1.0,1.0,5.0,640x360,1122638.0,16.0,15.31,-1.0,141.688163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=VgGVaBbq5R8,2,1127,61112248.0,640x360 ,H5PDe8RHBLc,1.0,0.0,999.0,640x360,556208.0,7.0,7.0,2.54,249.452625,_ma_CYu9-zs,1.0,0.0,999.0,640x360,556045.0,7.0,7.0,9.16,799.187943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=OnJIs8KWMIw,2,999,74342337.0,640x360 ,f-h9zPuZjws,1.0,0.0,999.0,0x0,1830107.0,56.0,56.0,-1.0,0.0,FhNaaDbLdr4,1.0,1.0,5.0,640x360,13400105.0,386.0,30.69,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=T1-qOAUNplc,3,1311,99906998.0,640x360 ,wluNcaLmfx4,1.0,1.0,5.0,640x360,2461600.0,31.0,8.51,-1.0,0.0,0c88aza5ziQ,1.0,1.0,5.0,640x360,1087980.0,16.0,15.74,0.0,0.0,ekT-Le2X_x8,1.0,0.0,999.0,640x360,556214.0,7.0,7.0,0.0,1127.270381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=sD7B8rVxfw4,3,241,20135795.0,640x360 ,JEz_wyVirh0,1.0,1.0,5.0,640x360,2132719.0,61.0,46.83,-1.0,0.0,q-RiYXg6gp0,1.0,1.0,5.0,640x360,1790516.0,31.0,30.33,-1.0,240.999909,E-qPSU-OSb8,1.0,1.0,5.0,640x360,8510572.0,144.0,58.92,0.0,240.999909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=PK0TqRcJ3to,2,340,27752492.0,640x360 ,2_6Q0tW2AcQ,1.0,1.0,5.0,640x360,2898711.0,63.0,12.82,-1.0,0.0,-KTVfdSvjT0,1.0,1.0,5.0,640x360,1700111.0,21.0,21.65,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=Rxlok5SRpAY,3,1098,90007457.0,640x360 ,i6ao_PLOLOg,1.0,1.0,5.0,640x360,17677784.0,258.0,52.89,37.7,244.365378,rm43fgMY0Hk,1.0,1.0,5.0,640x360,2793663.0,32.0,31.65,0.0,244.365378,rpoRqTfuNxg,1.0,0.0,999.0,640x360,276418.0,7.0,7.0,2.15,785.331999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=0nbClU-9OT0,1,53,2241280.0,640x360 ,q-RiYXg6gp0,1.0,1.0,5.0,640x360,1790516.0,31.0,10.97,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=nGyQyCUTr9U,3,724,64513397.0,640x360 ,q3n6Rd6AxDg,1.0,1.0,5.0,640x360,1387858.0,31.0,10.59,-1.0,0.0,ZBiWJ3XStHQ,1.0,1.0,5.0,640x360,2577661.0,31.0,20.41,0.0,0.0,87izjCKJ2mY,1.0,1.0,5.0,640x360,1261312.0,16.0,15.4,0.0,352.728274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=VJWXIjymtIo,3,1154,107805627.0,640x360 ,jnhSi5OI9kE,1.0,1.0,5.0,640x360,552390.0,16.0,15.04,-1.0,0.0,6BQArTwzhiA,1.0,1.0,5.0,640x360,2253869.0,30.0,14.12,0.0,0.0,zLsWppZoC44,1.0,1.0,5.0,640x360,2447285.0,30.0,21.39,8.81,272.176914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=HEyBLxh42D4,0,11012,849907575.0,640x360 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=eLB0QtvMJ_A,3,1280,108497909.0,640x360 ,JwNmNoWrz70,1.0,0.0,999.0,0x0,13468112.0,180.0,180.0,-1.0,0.0,OiZ_q9S6FOc,1.0,1.0,5.0,640x360,823070.0,15.0,10.42,0.0,0.0,2PjLiUNH3PU,1.0,1.0,5.0,640x360,14202290.0,191.0,48.75,64.38,428.286611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=dpJ8HzMWENQ,2,229,3821974.0,360x360 ,pG37hkB_v2Y,1.0,1.0,5.0,640x360,27240753.0,365.0,34.95,-1.0,0.0,hVi_GFyRpaU,1.0,1.0,5.0,640x360,2568198.0,31.0,20.22,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=M4f4BwgyxSQ,3,315,16449470.0,640x338 ,6cqjBjmORZ4,1.0,0.0,999.0,0x0,7302134.0,87.0,87.0,-1.0,0.0,pUkNARtON2s,1.0,0.0,999.0,0x0,19693675.0,361.0,361.0,0.0,0.0,OgmJMMI523U,1.0,1.0,5.0,640x360,13531742.0,182.0,46.9,-1.0,315.025125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
