Main_Video_Url,Total Number of Ads,Duration(s),Size Original (Bytes),Resolution,Advertisement 1 ID,Advertisement 1 Count,Advertisement 1 Skippable,Advertisement 1 Skip Duration,Advertisement 1 Resolution,Advertisement 1 Size(Bytes),Advertisement 1 Durationn(s),Advertisement 1 Advert_Buffer(s),Advertisement 1 Main_Buffer_Lost(s),Avertisement 1 Timestamp,Advertisement 2 ID,Advertisement 2 Count,Advertisement 2 Skippable,Advertisement 2 Skip Duration,Advertisement 2 Resolution,Advertisement 2 Size(Bytes),Advertisement 2 Durationn(s),Advertisement 2 Advert_Buffer(s),Advertisement 2 Main_Buffer_Lost(s),Avertisement 2 Timestamp,Advertisement 3 ID,Advertisement 3 Count,Advertisement 3 Skippable,Advertisement 3 Skip Duration,Advertisement 3 Resolution,Advertisement 3 Size(Bytes),Advertisement 3 Durationn(s),Advertisement 3 Advert_Buffer(s),Advertisement 3 Main_Buffer_Lost(s),Avertisement 3 Timestamp,Advertisement 4 ID,Advertisement 4 Count,Advertisement 4 Skippable,Advertisement 4 Skip Duration,Advertisement 4 Resolution,Advertisement 4 Size(Bytes),Advertisement 4 Durationn(s),Advertisement 4 Advert_Buffer(s),Advertisement 4 Main_Buffer_Lost(s),Avertisement 4 Timestamp,Advertisement 5 ID,Advertisement 5 Count,Advertisement 5 Skippable,Advertisement 5 Skip Duration,Advertisement 5 Resolution,Advertisement 5 Size(Bytes),Advertisement 5 Durationn(s),Advertisement 5 Advert_Buffer(s),Advertisement 5 Main_Buffer_Lost(s),Avertisement 5 Timestamp,Advertisement 6 ID,Advertisement 6 Count,Advertisement 6 Skippable,Advertisement 6 Skip Duration,Advertisement 6 Resolution,Advertisement 6 Size(Bytes),Advertisement 6 Durationn(s),Advertisement 6 Advert_Buffer(s),Advertisement 6 Main_Buffer_Lost(s),Avertisement 6 Timestamp,Advertisement 7 ID,Advertisement 7 Count,Advertisement 7 Skippable,Advertisement 7 Skip Duration,Advertisement 7 Resolution,Advertisement 7 Size(Bytes),Advertisement 7 Durationn(s),Advertisement 7 Advert_Buffer(s),Advertisement 7 Main_Buffer_Lost(s),Avertisement 7 Timestamp,Advertisement 8 ID,Advertisement 8 Count,Advertisement 8 Skippable,Advertisement 8 Skip Duration,Advertisement 8 Resolution,Advertisement 8 Size(Bytes),Advertisement 8 Durationn(s),Advertisement 8 Advert_Buffer(s),Advertisement 8 Main_Buffer_Lost(s),Avertisement 8 Timestamp,Advertisement 9 ID,Advertisement 9 Count,Advertisement 9 Skippable,Advertisement 9 Skip Duration,Advertisement 9 Resolution,Advertisement 9 Size(Bytes),Advertisement 9 Durationn(s),Advertisement 9 Advert_Buffer(s),Advertisement 9 Main_Buffer_Lost(s),Avertisement 9 Timestamp,Advertisement 10 ID,Advertisement 10 Count,Advertisement 10 Skippable,Advertisement 10 Skip Duration,Advertisement 10 Resolution,Advertisement 10 Size(Bytes),Advertisement 10 Durationn(s),Advertisement 10 Advert_Buffer(s),Advertisement 10 Main_Buffer_Lost(s),Avertisement 10 Timestamp,Advertisement 11 ID,Advertisement 11 Count,Advertisement 11 Skippable,Advertisement 11 Skip Duration,Advertisement 11 Resolution,Advertisement 11 Size(Bytes),Advertisement 11 Durationn(s),Advertisement 11 Advert_Buffer(s),Advertisement 11 Main_Buffer_Lost(s),Avertisement 11 Timestamp,Advertisement 12 ID,Advertisement 12 Count,Advertisement 12 Skippable,Advertisement 12 Skip Duration,Advertisement 12 Resolution,Advertisement 12 Size(Bytes),Advertisement 12 Durationn(s),Advertisement 12 Advert_Buffer(s),Advertisement 12 Main_Buffer_Lost(s),Avertisement 12 Timestamp,Advertisement 13 ID,Advertisement 13 Count,Advertisement 13 Skippable,Advertisement 13 Skip Duration,Advertisement 13 Resolution,Advertisement 13 Size(Bytes),Advertisement 13 Durationn(s),Advertisement 13 Advert_Buffer(s),Advertisement 13 Main_Buffer_Lost(s),Avertisement 13 Timestamp
https://www.youtube.com/watch?v=gWJbIWwEEBI,4,1615,125420289.0,640x360 ,T4RZC_eiQQ0,1.0,1.0,5.0,640x360,10249263.0,138.0,21.57,-1.0,0.0,VB63Nv8SicQ,1.0,1.0,5.0,640x360,939822.0,16.0,14.51,0.0,0.0,nSair22OFCI,1.0,0.0,999.0,640x360,565654.0,11.0,11.0,0.0,471.838877,GVOznVfqttw,1.0,1.0,5.0,640x360,2249219.0,31.0,30.77,0.0,471.838877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=lgquLmtjwp0,2,561,33813918.0,640x360 ,mBv73WCcofc,1.0,1.0,5.0,640x360,1319213.0,21.0,19.82,-1.0,0.0,VB63Nv8SicQ,1.0,1.0,5.0,640x360,939822.0,16.0,15.66,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=S0Fuhw2i_Qs,6,3365,131444251.0,640x360 ,SrRTQBWXR9c,1.0,1.0,5.0,640x360,1521001.0,31.0,25.16,-1.0,0.0,yuV5xlQLgEQ,1.0,1.0,5.0,640x360,2389185.0,31.0,30.37,0.0,0.0,vZZkeRZSlt4,1.0,1.0,5.0,640x360,1117023.0,16.0,15.91,24.65,593.14677,PuufdtomdBw,1.0,0.0,999.0,640x360,223269.0,6.0,6.0,0.0,1043.480945,vR8v3cLOJ7Y,5.0,0.0,999.0,640x360,246387.0,11.0,11.0,-1.0,3364.478549,1nZpxCijYqk,1.0,0.0,999.0,640x360,332068.0,16.0,16.0,4.52,2429.109898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=h-gTkoQZawo,3,2198,110883903.0,640x360 ,2G1w8zjcXEE,1.0,1.0,5.0,640x360,24661119.0,271.0,9.64,-1.0,0.0,bbVGNp0iXMw,1.0,1.0,5.0,640x360,1505137.0,21.0,19.29,0.0,0.0,QR-hmtQlNXk,2.0,0.0,999.0,640x360,373523.0,15.0,15.0,4.27,1532.399016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=HR1ig6u9-6A,2,485,36354107.0,640x360 ,7KkPDl0a6V8,1.0,1.0,5.0,640x360,7077153.0,119.0,58.29,9.51,270.804033,H0yKYGb0pnQ,1.0,1.0,5.0,640x360,2773871.0,31.0,30.32,0.0,270.804033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=Nk1lfzwNhMQ,0,768,69629057.0,640x360 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=lLC6Q_ssa90,0,349,20741603.0,640x360 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=J2sPonzKcWU,4,6877,317623057.0,640x360 ,jg5y4ObY-54,1.0,1.0,5.0,640x360,743862.0,11.0,10.41,0.0,0.0,JSnl5XAlV4o,1.0,1.0,5.0,640x360,7523196.0,101.0,22.2,0.0,0.0,1UI-jdv_pJg,1.0,0.0,999.0,640x360,1121907.0,16.0,16.0,199.36,517.643136,QR-hmtQlNXk,4.0,0.0,999.0,640x360,373523.0,15.0,15.0,111.25,3895.513887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=0a-Q2pxQc0w,0,994,20974074.0,640x360 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=J3iw9WU2H6g,6,6244,155395368.0,640x360 ,Re2735d8htE,1.0,1.0,5.0,640x360,17958322.0,206.0,20.8,-1.0,0.0,8LEjdfT1VWI,1.0,1.0,5.0,640x360,1248948.0,15.0,9.4,0.0,0.0,uy0FrjpwYfE,1.0,1.0,5.0,640x360,897231.0,16.0,15.34,0.0,481.025307,TxDGvX7l6Vs,1.0,1.0,5.0,640x360,508672.0,15.0,15.05,0.0,481.025307,KaBSZXw6OOw,1.0,0.0,999.0,640x360,259795.0,7.0,7.0,0.0,1063.013102,vR8v3cLOJ7Y,6.0,0.0,999.0,640x360,246903.0,11.0,11.0,259.1,4075.004566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
