Main_Video_Url,Total Number of Ads,Duration(s),Size Original (Bytes),Resolution,Advertisement 1 ID,Advertisement 1 Count,Advertisement 1 Skippable,Advertisement 1 Skip Duration,Advertisement 1 Resolution,Advertisement 1 Size(Bytes),Advertisement 1 Durationn(s),Advertisement 1 Advert_Buffer(s),Advertisement 1 Main_Buffer_Lost(s),Avertisement 1 Timestamp,Advertisement 2 ID,Advertisement 2 Count,Advertisement 2 Skippable,Advertisement 2 Skip Duration,Advertisement 2 Resolution,Advertisement 2 Size(Bytes),Advertisement 2 Durationn(s),Advertisement 2 Advert_Buffer(s),Advertisement 2 Main_Buffer_Lost(s),Avertisement 2 Timestamp,Advertisement 3 ID,Advertisement 3 Count,Advertisement 3 Skippable,Advertisement 3 Skip Duration,Advertisement 3 Resolution,Advertisement 3 Size(Bytes),Advertisement 3 Durationn(s),Advertisement 3 Advert_Buffer(s),Advertisement 3 Main_Buffer_Lost(s),Avertisement 3 Timestamp,Advertisement 4 ID,Advertisement 4 Count,Advertisement 4 Skippable,Advertisement 4 Skip Duration,Advertisement 4 Resolution,Advertisement 4 Size(Bytes),Advertisement 4 Durationn(s),Advertisement 4 Advert_Buffer(s),Advertisement 4 Main_Buffer_Lost(s),Avertisement 4 Timestamp,Advertisement 5 ID,Advertisement 5 Count,Advertisement 5 Skippable,Advertisement 5 Skip Duration,Advertisement 5 Resolution,Advertisement 5 Size(Bytes),Advertisement 5 Durationn(s),Advertisement 5 Advert_Buffer(s),Advertisement 5 Main_Buffer_Lost(s),Avertisement 5 Timestamp,Advertisement 6 ID,Advertisement 6 Count,Advertisement 6 Skippable,Advertisement 6 Skip Duration,Advertisement 6 Resolution,Advertisement 6 Size(Bytes),Advertisement 6 Durationn(s),Advertisement 6 Advert_Buffer(s),Advertisement 6 Main_Buffer_Lost(s),Avertisement 6 Timestamp,Advertisement 7 ID,Advertisement 7 Count,Advertisement 7 Skippable,Advertisement 7 Skip Duration,Advertisement 7 Resolution,Advertisement 7 Size(Bytes),Advertisement 7 Durationn(s),Advertisement 7 Advert_Buffer(s),Advertisement 7 Main_Buffer_Lost(s),Avertisement 7 Timestamp,Advertisement 8 ID,Advertisement 8 Count,Advertisement 8 Skippable,Advertisement 8 Skip Duration,Advertisement 8 Resolution,Advertisement 8 Size(Bytes),Advertisement 8 Durationn(s),Advertisement 8 Advert_Buffer(s),Advertisement 8 Main_Buffer_Lost(s),Avertisement 8 Timestamp,Advertisement 9 ID,Advertisement 9 Count,Advertisement 9 Skippable,Advertisement 9 Skip Duration,Advertisement 9 Resolution,Advertisement 9 Size(Bytes),Advertisement 9 Durationn(s),Advertisement 9 Advert_Buffer(s),Advertisement 9 Main_Buffer_Lost(s),Avertisement 9 Timestamp,Advertisement 10 ID,Advertisement 10 Count,Advertisement 10 Skippable,Advertisement 10 Skip Duration,Advertisement 10 Resolution,Advertisement 10 Size(Bytes),Advertisement 10 Durationn(s),Advertisement 10 Advert_Buffer(s),Advertisement 10 Main_Buffer_Lost(s),Avertisement 10 Timestamp
https://www.youtube.com/watch?v=BsvUCWn1QoM,4,818,51113797.0,640x360 ,SrRTQBWXR9c,1.0,1.0,5.0,640x360,1521560.0,31.0,7.439999999999999,-1.0,0.0,svIbiWQtY3U,1.0,1.0,5.0,640x360,2585687.0,31.0,11.5,0.0,0.0,vZZkeRZSlt4,1.0,1.0,5.0,640x360,1117023.0,16.0,15.55,40.540000000000006,360.069907,QOI8zOAvBYE,1.0,1.0,5.0,640x360,1093962.0,21.0,20.37,0.0,360.069907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=3k9lIidDArU,4,9699,557530646.0,640x360 ,aro15HWm54o,1.0,1.0,5.0,640x346,12184445.0,171.0,21.27,-1.0,0.0,LzC_ZA0Q9YI,1.0,1.0,5.0,640x360,2629660.0,30.0,19.84,0.0,0.0,q8dv5Cw6G74,1.0,1.0,5.0,640x360,1341336.0,16.0,15.45,77.06,312.090187,vR8v3cLOJ7Y,4.0,0.0,999.0,640x360,246903.0,11.0,11.0,9.23,3919.615098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=xwIALXkZ5qA,0,33,2417114.0,638x360 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=lJEscziNdxs,5,834,50535133.0,640x360 ,Mlk95MGOHg8,1.0,1.0,5.0,640x360,1373045.0,16.0,5.25,-1.0,0.0,bNrCIbazh-8,1.0,1.0,5.0,640x360,1347037.0,21.0,19.8,0.0,0.0,zXOoza3sxiw,1.0,1.0,5.0,640x360,16677332.0,224.0,48.54,90.45,355.956638,yc05MVvhkOQ,1.0,1.0,5.0,640x360,5940816.0,94.0,34.86,0.0,355.956638,2_MLw_JWeOg,1.0,0.0,999.0,640x360,999479.0,16.0,16.0,13.07,672.918821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=O1tSvHLJWWc,4,3056,219203668.0,640x360 ,M4Zuz4bu7Vk,1.0,1.0,5.0,640x360,12255010.0,252.0,17.57,-1.0,0.0,Qc9QUd6igaM,1.0,1.0,5.0,640x360,907866.0,16.0,12.88,0.0,0.0,QR-hmtQlNXk,2.0,0.0,999.0,640x360,373523.0,15.0,15.0,212.55,2253.88226,94yESLBK9fU,1.0,0.0,999.0,636x360,462289.0,15.0,15.0,65.49,2633.803081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=BywTYWNVhTs,2,200,9086693.0,640x360 ,MT-k6zwMkLo,1.0,1.0,5.0,640x360,711632.0,16.0,13.34,-1.0,0.0,Z5Qhz2QNOAY,1.0,1.0,5.0,640x360,662872.0,15.0,15.38,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=CQCinrzEps4,2,155,13679996.0,640x360 ,m_aAmYGF0EQ,1.0,1.0,5.0,640x360,1486013.0,21.0,12.41,-1.0,0.0,Y97p0mWUuZ0,1.0,1.0,5.0,640x360,11624267.0,159.0,19.54,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=vzg3k0b9GRQ,7,7415,587089280.0,640x360 ,moPfXOHIzUQ,1.0,1.0,5.0,640x360,1133408.0,16.0,15.2,-1.0,0.0,JHdzCPzOurQ,1.0,1.0,5.0,640x360,1743178.0,30.0,30.11,46.09,404.573379,3vO4E7SB2OU,1.0,1.0,5.0,640x360,16658022.0,223.0,48.68,0.0,404.573379,vR8v3cLOJ7Y,5.0,0.0,999.0,640x360,246903.0,11.0,11.0,314.08,3704.87503,1Sg1Ht48Xas,1.0,0.0,999.0,640x360,345164.0,6.0,6.0,97.73,1529.986214,nqm2balv6Dw,1.0,0.0,999.0,640x360,560534.0,7.0,7.0,147.39,3098.014635,nwOvIRfqcac,1.0,0.0,999.0,640x360,520763.0,6.0,6.0,19.45,3862.918264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=qlKq0aD4Jpc,2,191,3620598.0,360x360 ,osALZcZbu04,1.0,1.0,5.0,640x360,9778304.0,128.0,22.34,-1.0,0.0,aX8nvD1pNYw,1.0,1.0,5.0,640x360,1142400.0,15.0,11.22,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=ushX2C3EyiQ,2,670,37085281.0,640x360 ,KySweFRTB_Y,1.0,1.0,5.0,640x360,1387334.0,16.0,14.97,-1.0,0.0,7slP77nShnw,1.0,1.0,5.0,640x360,9991067.0,220.0,17.8,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
